word;file
ёж;hedgehog.jpg
уж;adder.jpg
юг;south.jpg
яд;poison.jpg
бык;bull.jpg
душ;shower.jpg
жук;dor.jpg
зуб;tooth.png
лес;forest.jpg
мак;poppy.jpg
меч;sword.jpg
мяч;ball.jpg
пёс;dog.jpg
сыр;cheese.jpg
рис;rice.jpg
хор;choir.jpg
ухо;ear.jpg
уши;ears.jpg
усы;mustache.jpg
эхо;echo.jpg
кот;cat.jpg
лай;bark.jpg
мох;moss.jpg
нос;nose.jpg
суп;soup.jpg
шар;sphere.jpg
шум;noise.jpg
шаг;step.jpg
сок;juice.jpg
сад;garden.jpg
жар;heat.jpg
рот;mouth.jpg
сон;dream.jpg
дом;house.jpg
лук;onion.jpg
рак;crayfish.jpg
дым;smoke.jpg
пол;floor.jpg
чай;tea.jpg
зал;hall.jpg
шея;neck.jpg
щит;shield.jpg
ток;amperage.jpg
шов;seam.jpg
юла;whirligig.jpeg
кит;whale.jpg
йод;iodine.jpeg
газ;gas.jpg
лев;lion.jpg
дуб;oak.jpg
чек;cheque.png
куб;cube.jpg
год;year.png
мыс;promontory.jpg
яма;hollow.jpg
мел;chalk.jpg
мех;fur.jpg
люк;luke.jpg
нож;knife.jpg
пар;steam.jpg
пух;fluff.jpg
ель;spruce.jpg
еда;food.jpg
лоб;forehead.jpg
мама;mother.jpg
папа;father.jpg
перо;feather.jpg
торт;cake.jpg
конь;horse.jpg
муха;fly.jpg
мыло;soap.jpg
стул;chair.jpg
паук;spider.jpg
стол;table.jpg
лось;elk.jpg
окно;window.jpg
волк;wolf.jpg
рыба;fish.jpg
лиса;fox.jpg
юбка;skirt.jpg
зима;winter.jpg
игра;game.jpg
утка;duck.jpg
парк;park.jpg
цирк;circus.jpg
тигр;tiger.jpg
куст;shrub.jpg
след;trace.jpg
друг;friend.jpg
брат;brother.jpg
шкаф;cupboard.jpg
свет;light.jpg
шарф;scarf.jpg
слон;elephant.jpg
заяц;hare.jpg
вода;water.jpg
лето;summer.jpg
рысь;lynx.jpg
краб;crab.jpg
хлеб;bread.jpg
